"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"69","Pelophryne lighti","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Pelophryne","Pelophryne lighti","Bufonidae",46.4928706208311,15.7692602258035,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"70","Megophrys ligayae","Philippines","PH","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Megophryidae","Megophrys","Megophrys ligayae","Megophryidae",53.6790417584914,15.3831385801486,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"71","Megophrys stejnegeri","Philippines","PH","VU",1,1,1,0,1,"pet",1,0,1,0,"IUCN","Amphibian","Anura","Megophryidae","Megophrys","Megophrys stejnegeri","Megophryidae",53.6790417584914,15.3831394085486,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",0,1,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,NA,NA,1,0
"72","Kaloula conjuncta","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula conjuncta","Microhylidae",47,16.4912755389614,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"73","Kaloula kalingensis","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula kalingensis","Microhylidae",39.3,12.4794209113614,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"74","Kaloula kokacii","Philippines","PH","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula kokacii","Microhylidae",51.5605188045155,12.4794209113614,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"75","Kalophrynus pleurostigma","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kalophrynus","Kalophrynus pleurostigma","Microhylidae",34.5,59.6442282287977,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"76","Kaloula picta","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula picta","Microhylidae",51.2,22.7173307174455,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"77","Kaloula rigida","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula rigida","Microhylidae",43.9,13.2187759159807,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"78","Kaloula walteri","Philippines","PH","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula walteri","Microhylidae",32.3,13.2187759159807,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
