"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"226","Glyphoglossus minutus","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Glyphoglossus","Calluella minuta","Microhylidae",NA,25.6750655400056,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"227","Staurois parvus","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Staurois","Staurois parvus","Ranidae",31,21.5268923035655,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"228","Leptolalax solus","Malaysia","MY","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Megophryidae","Leptolalax","Leptolalax solus","Megophryidae",28.7,25.570681996145,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"229","Leptolalax solus","Malaysia","MY","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Megophryidae","Leptolalax","Leptolalax solus","Megophryidae",28.7,25.570681996145,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"230","Polypedates chlorophthalmus","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Polypedates","Polypedates chlorophthalmus","Rhacophoridae",62,18.7146508002839,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"231","Ansonia latirostra","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia latirostra","Bufonidae",30.5,18.8189416736908,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"232","Microhyla fissipes","Malaysia","MY","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Microhyla","Microhyla fissipes","Microhylidae",23.6,11.4782187520117,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"233","Ansonia endauensis","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia endauensis","Bufonidae",28.5,20.5713371391908,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"234","Theloderma licin","Malaysia","MY","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Theloderma","Theloderma licin","Rhacophoridae",46.4928706208311,5.04890051990989,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"235","Microhyla mantheyi","Malaysia","MY","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Microhyla","Microhyla mantheyi","Microhylidae",29.2,19.7477546921367,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"236","Ansonia latiffi","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia latiffi","Bufonidae",51,9.64153948077042,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"237","Ansonia jeetsukumarani","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia jeetsukumarani","Bufonidae",25.3,17.1408499212768,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"238","Pelophryne murudensis","Malaysia","MY","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Pelophryne","Pelophryne murudensis","Bufonidae",25.6,6.78269932745088,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"239","Pelophryne linanitensis","Malaysia","MY","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Pelophryne","Pelophryne linanitensis","Bufonidae",18.6,2.59217352402522,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"240","Philautus davidlabangi","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus davidlabangi","Rhacophoridae",20,13.4335062108713,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"241","Philautus davidlabangi","Malaysia","MY","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus davidlabangi","Rhacophoridae",20,13.4335062108713,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"242","Limnonectes jarujini","Malaysia","MY","LC",0,0,0,0,0,"unknown",0,0,0,0,"IUCN","Amphibian","Anura","Dicroglossidae","Limnonectes","Limnonectes jarujini","Dicroglossidae",65.245212808133,13.7724910889435,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
