"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"49","Polypedates colletti","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Polypedates","Polypedates colletti","Rhacophoridae",80,30.8215835297857,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"50","Rhacophorus dulitensis","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus dulitensis","Rhacophoridae",50,22.8729439679089,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"51","Rhacophorus dulitensis","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus dulitensis","Rhacophoridae",50,22.8729439679089,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"52","Rhacophorus margaritifer","Indonesia","ID","LC",0,0,1,0,1,"pet",1,0,0,1,"IUCN","Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus margaritifer","Rhacophoridae",60,5.98722158776362,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",1,0,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,1,1
"53","Rhacophorus pardalis","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus pardalis","Rhacophoridae",70,14.6895201809545,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"54","Rhacophorus poecilonotus","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus poecilonotus","Rhacophoridae",45.8722730241788,14.1901026821996,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"55","Rhacophorus prominanus","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus prominanus","Rhacophoridae",46.4928706208311,9.21201305452724,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"56","Rhacophorus reinwardtii","Indonesia","ID","NT",0,0,1,0,1,"pet",1,0,0,1,"IUCN","Amphibian","Anura","Rhacophoridae","Rhacophorus","Rhacophorus reinwardtii","Rhacophoridae",82.7,22.0525343900339,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",1,1,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,1,1
"57","Ichthyophis paucidentulus","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Gymnophiona","Ichthyophiidae","Ichthyophis","Caudacaecilia paucidentula","Ichthyophiidae",NA,41.52666143925,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"58","Ichthyophis hypocyaneus","Indonesia","ID","DD",1,0,1,0,1,"pet",0,0,1,0,"IUCN","Amphibian","Gymnophiona","Ichthyophiidae","Ichthyophis","Ichthyophis hypocyaneus","Ichthyophiidae",260,85.74275473,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
